id,link,name,price
107251461,https://kazan.hh.ru/vacancy/107251461?query=python%2C&hhtmFrom=vacancy_search_list,Программист С++,140 000 – 230 000 ₽ до вычета налогов
93300838,https://kazan.hh.ru/vacancy/93300838?query=python%2C&hhtmFrom=vacancy_search_list,Site Reliability Engineer (SRE),
106520201,https://kazan.hh.ru/vacancy/106520201?query=python%2C&hhtmFrom=vacancy_search_list,Специалист по МИС (медицинские информационные системы),от 35 000 ₽ на руки
107131291,https://kazan.hh.ru/vacancy/107131291?query=python%2C&hhtmFrom=vacancy_search_list,Инженер машинного зрения (computer vision),240 000 – 240 000 ₽ на руки
107222187,https://kazan.hh.ru/vacancy/107222187?query=python%2C&hhtmFrom=vacancy_search_list,Python разработчик в финтех-гигант,
107397686,https://kazan.hh.ru/vacancy/107397686?query=python%2C&hhtmFrom=vacancy_search_list,Python developer (Senior),
107130931,https://kazan.hh.ru/vacancy/107130931?query=python%2C&hhtmFrom=vacancy_search_list,Программист Python,122 000 – 238 000 ₽ до вычета налогов
107022494,https://kazan.hh.ru/vacancy/107022494?query=python%2C&hhtmFrom=vacancy_search_list,Python разработчик,
106961161,https://kazan.hh.ru/vacancy/106961161?query=python%2C&hhtmFrom=vacancy_search_list,Разработчик Python,
96536278,https://kazan.hh.ru/vacancy/96536278?query=python%2C&hhtmFrom=vacancy_search_list,Python developer / Разработчик Python (KORNFELD),
106787116,https://kazan.hh.ru/vacancy/106787116?query=python%2C&hhtmFrom=vacancy_search_list,Python-программист (Python backend developer),от 100 000 ₽ до вычета налогов
106969149,https://kazan.hh.ru/vacancy/106969149?query=python%2C&hhtmFrom=vacancy_search_list,Разработчик в тестировании / SDET (Python),
106560811,https://kazan.hh.ru/vacancy/106560811?query=python%2C&hhtmFrom=vacancy_search_list,Middle Python Developer,
106490653,https://kazan.hh.ru/vacancy/106490653?query=python%2C&hhtmFrom=vacancy_search_list,Инженер-тестировщик НТ Python,
107681841,https://kazan.hh.ru/vacancy/107681841?query=python%2C&hhtmFrom=vacancy_search_list,Аналитик,
107650780,https://kazan.hh.ru/vacancy/107650780?query=python%2C&hhtmFrom=vacancy_search_list,Tech Lead (ERP),
106648824,https://kazan.hh.ru/vacancy/106648824?query=python%2C&hhtmFrom=vacancy_search_list,Программист-разработчик,50 000 – 150 000 ₽ на руки
